Zeitraum;kWh;Euro;kgCO2;Status
15.10.2022 08:45 - 09:00;2948,000;0,00;1583,076;Ersatzwert
15.10.2022 09:00 - 09:15;3075,000;0,00;1651,275;Ersatzwert
15.10.2022 09:15 - 09:30;2985,000;0,00;1602,945;Ersatzwert
15.10.2022 09:30 - 09:45;3014,000;0,00;1618,518;Ersatzwert
15.10.2022 09:45 - 10:00;2925,000;0,00;1570,725;Ersatzwert
15.10.2022 10:00 - 10:15;2929,000;0,00;1572,873;Ersatzwert
15.10.2022 10:15 - 10:30;2902,000;0,00;1558,374;Ersatzwert
15.10.2022 10:30 - 10:45;2750,000;0,00;1476,750;Ersatzwert
15.10.2022 10:45 - 11:00;2870,000;0,00;1541,190;Ersatzwert
15.10.2022 11:00 - 11:15;2653,000;0,00;1424,661;Ersatzwert
15.10.2022 11:15 - 11:30;2739,000;0,00;1470,843;Ersatzwert
15.10.2022 11:30 - 11:45;2596,000;0,00;1394,052;Ersatzwert
15.10.2022 11:45 - 12:00;2676,000;0,00;1437,012;Ersatzwert
15.10.2022 12:00 - 12:15;2878,000;0,00;1545,486;Ersatzwert
15.10.2022 12:15 - 12:30;2842,000;0,00;1526,154;Ersatzwert
15.10.2022 12:30 - 12:45;2758,000;0,00;1481,046;Ersatzwert
15.10.2022 12:45 - 13:00;2728,000;0,00;1464,936;Ersatzwert
15.10.2022 13:00 - 13:15;2871,000;0,00;1541,727;Ersatzwert
15.10.2022 13:15 - 13:30;3010,000;0,00;1616,370;Ersatzwert
15.10.2022 13:30 - 13:45;3013,000;0,00;1617,981;Ersatzwert
15.10.2022 13:45 - 14:00;2680,000;0,00;1439,160;Ersatzwert
15.10.2022 14:00 - 14:15;2613,000;0,00;1403,181;Ersatzwert
15.10.2022 14:15 - 14:30;2630,000;0,00;1412,310;Ersatzwert
15.10.2022 14:30 - 14:45;2598,000;0,00;1395,126;Ersatzwert
15.10.2022 14:45 - 15:00;2621,000;0,00;1407,477;Ersatzwert
15.10.2022 15:00 - 15:15;2596,000;0,00;1394,052;Ersatzwert
15.10.2022 15:15 - 15:30;2747,000;0,00;1475,139;Ersatzwert
15.10.2022 15:30 - 15:45;2894,000;0,00;1554,078;Ersatzwert
15.10.2022 15:45 - 16:00;2979,000;0,00;1599,723;Ersatzwert
15.10.2022 16:00 - 16:15;3375,000;0,00;1812,375;Ersatzwert
15.10.2022 16:15 - 16:30;3468,000;0,00;1862,316;Ersatzwert
15.10.2022 16:30 - 16:45;3508,000;0,00;1883,796;Ersatzwert
15.10.2022 16:45 - 17:00;3559,000;0,00;1911,183;Ersatzwert
15.10.2022 17:00 - 17:15;3560,000;0,00;1911,720;Ersatzwert
15.10.2022 17:15 - 17:30;2936,000;0,00;1576,632;Ersatzwert
15.10.2022 17:30 - 17:45;3022,000;0,00;1622,814;Ersatzwert
15.10.2022 17:45 - 18:00;2958,000;0,00;1588,446;Ersatzwert
15.10.2022 18:00 - 18:15;3581,000;0,00;1922,997;Ersatzwert
15.10.2022 18:15 - 18:30;3138,000;0,00;1685,106;Ersatzwert
15.10.2022 18:30 - 18:45;3089,000;0,00;1658,793;Ersatzwert
15.10.2022 18:45 - 19:00;3177,000;0,00;1706,049;Ersatzwert
15.10.2022 19:00 - 19:15;3059,000;0,00;1642,683;Ersatzwert
